央视频道,#genre#
CCTV1,http://125.78.15.129:4022/rtp/239.61.3.61:9884
CCTV2,http://125.78.15.129:4022/rtp/239.61.2.174:9032
CCTV3,http://125.78.15.129:4022/rtp/239.61.3.34:9722
CCTV4,http://125.78.15.129:4022/rtp/239.61.2.206:9224
CCTV5+,http://125.78.15.129:4022/rtp/239.61.2.171:9014
CCTV5,http://125.78.15.129:4022/rtp/239.61.3.35:9728
CCTV6,http://125.78.15.129:4022/rtp/239.61.3.36:9734
CCTV7,http://125.78.15.129:4022/rtp/239.61.2.175:9038
CCTV8,http://125.78.15.129:4022/rtp/239.61.3.37:9740
CCTV9,http://125.78.15.129:4022/rtp/239.61.2.172:9020
CCTV10,http://125.78.15.129:4022/rtp/239.61.2.176:9044
CCTV11,http://125.78.15.129:4022/rtp/239.61.2.21:8120
CCTV12,http://125.78.15.129:4022/rtp/239.61.2.177:9050
CCTV13,http://125.78.15.129:4022/rtp/239.61.2.23:8132
CCTV14,http://125.78.15.129:4022/rtp/239.61.2.178:9056
CCTV15,http://125.78.15.129:4022/rtp/239.61.2.25:8144
CCTV17,http://125.78.15.129:4022/rtp/239.61.3.9:9572
福建专线,#genre#
福建综合,http://125.78.15.129:4022/rtp/239.61.2.1:8000
福建综合,http://125.78.15.129:4022/rtp/239.61.3.4:9542
东南卫视,http://125.78.15.129:4022/rtp/239.61.2.132:8708
莆田一套,http://e2.woc.iiiya.cn:8888/udp/239.61.5.94:1025
福建新闻,http://125.78.15.129:4022/rtp/239.61.2.4:8018
福建体育,http://125.78.15.129:4022/rtp/239.61.2.160:8948
福建公共频道,http://125.78.15.129:4022/rtp/239.61.2.3:8012
福建少儿,http://125.78.15.129:4022/rtp/239.61.2.9:8048
福建教育频道,http://125.78.15.129:4022/rtp/239.61.2.173:9026
福建旅游,http://125.78.15.129:4022/rtp/239.61.2.6:8030
福建电视剧,http://125.78.15.129:4022/rtp/239.61.2.5:8024
福建经济生活,http://125.78.15.129:4022/rtp/239.61.2.7:8036
厦门卫视,http://125.78.15.129:4022/rtp/239.61.2.11:8060
厦门1套,http://125.78.15.129:4022/rtp/239.61.3.55:9848
厦门2套,http://125.78.15.129:4022/rtp/239.61.3.56:9854
卫视频道,#genre#
凤凰卫视中文台,http://125.78.15.129:4022/rtp/239.61.2.184:9092
凤凰卫视资讯台,http://125.78.15.129:4022/rtp/239.61.2.183:9086
海峡卫视,http://125.78.15.129:4022/rtp/239.61.2.151:8894
湖南卫视,http://125.78.15.129:4022/rtp/239.61.2.31:8180
江苏卫视,http://125.78.15.129:4022/rtp/239.61.2.30:8174
浙江卫视,http://125.78.15.129:4022/rtp/239.61.2.29:8168
北京卫视,http://125.78.15.129:4022/rtp/239.61.2.32:8186
东方卫视,http://125.78.15.129:4022/rtp/239.61.2.28:8162
广东卫视,http://125.78.15.129:4022/rtp/239.61.2.33:8192
深圳卫视,http://125.78.15.129:4022/rtp/239.61.3.46:9794
海南卫视,http://125.78.15.129:4022/rtp/239.61.2.42:8246
三沙卫视,http://125.78.15.129:4022/rtp/239.61.3.10:9578
广西卫视,http://125.78.15.129:4022/rtp/239.61.2.48:8282
云南卫视,http://125.78.15.129:4022/rtp/239.61.2.61:8360
四川卫视,http://125.78.15.129:4022/rtp/239.61.2.251:9494
大湾区卫视,http://125.78.15.129:4022/rtp/239.61.3.5:9548
天津卫视,http://125.78.15.129:4022/rtp/239.61.2.180:9068
宁夏卫视,http://125.78.15.129:4022/rtp/239.61.2.56:8330
安徽卫视,http://125.78.15.129:4022/rtp/239.61.2.248:9476
山东卫视,http://125.78.15.129:4022/rtp/239.61.2.119:8708
山西卫视,http://125.78.15.129:4022/rtp/239.61.2.224:9332
江西卫视,http://125.78.15.129:4022/rtp/239.61.2.182:9080
河北卫视,http://125.78.15.129:4022/rtp/239.61.2.57:8336
河南卫视,http://125.78.15.129:4022/rtp/239.61.2.59:8348
湖北卫视,http://125.78.15.129:4022/rtp/239.61.2.120:8714
甘肃卫视,http://125.78.15.129:4022/rtp/239.61.2.225:9338
西藏卫视,http://125.78.15.129:4022/rtp/239.61.2.229:9362
贵州卫视,http://125.78.15.129:4022/rtp/239.61.2.159:8942
辽宁卫视,http://125.78.15.129:4022/rtp/239.61.2.181:9074
重庆卫视,http://125.78.15.129:4022/rtp/239.61.2.250:9488
陕西卫视,http://125.78.15.129:4022/rtp/239.61.2.38:8222
青海卫视,http://125.78.15.129:4022/rtp/239.61.2.60:8354
吉林卫视,http://125.78.15.129:4022/rtp/239.61.2.223:9326
黑龙江卫视,http://125.78.15.129:4022/rtp/239.61.2.34:8198
其他频道,#genre#
CGTN,http://125.78.15.129:4022/rtp/239.61.2.19:8108
CHC动作电影,http://125.78.15.129:4022/rtp/239.61.3.16:9616
东方财经,http://125.78.15.129:4022/rtp/239.61.2.76:8450
文物宝库,http://125.78.15.129:4022/rtp/239.61.3.21:9646
欢笑剧场,http://125.78.15.129:4022/rtp/239.61.2.146:8864
法治天地,http://125.78.15.129:4022/rtp/239.61.2.75:8444
环球旅游,http://125.78.15.129:4022/rtp/239.61.3.66:9914
生态环境,http://125.78.15.129:4022/rtp/239.61.3.68:9926
生活时尚,http://125.78.15.129:4022/rtp/239.61.2.141:8834
百姓健康,http://125.78.15.129:4022/rtp/239.61.3.62:9890
茶频道,http://125.78.15.129:4022/rtp/239.61.3.59:9872
财富天下,http://125.78.15.129:4022/rtp/239.61.3.63:9896
车迷频道,http://125.78.15.129:4022/rtp/239.61.3.64:9902
清通于25号更新,#genre#
